pulse   class    view   snd/dnd   comment
29737   0        0       0        view0-snd
29738   0        0       0        view0-snd
29739   0        0       0        view0-snd
29741   0        0       0        view0-snd
29742   1        1       0        view1-snd
29743   1        1       0        view1-snd
29746   1        1       0        view1-snd
29747   2        1       1        view1-dnd
29748   2        1       1        view1-dnd
29749   2        1       1        view1-dnd
29751   2        1       1        view1-dnd
29752   2        1       1        view1-dnd
29753   2        1       1        view1-dnd
29754   2        1       1        view1-dnd
29758   1        1       0        view1-snd
29759   2        1       1        view1-dnd
29761   2        1       1        view1-dnd
29762   2        1       1        view1-dnd
29763   2        1       1        view1-dnd
29764   2        1       1        view1-dnd
29767   3        2       1        view2-dnd
29768   4        2       0        view2-snd
29769   4        2       0        view2-snd
29771   4        2       0        view2-snd
29775   4        2       0        view2-snd
29776   4        2       0        view2-snd
29777   4        2       0        view2-snd
29778   4        2       0        view2-snd
29780   4        2       0        view2-snd
29781   4        2       0        view2-snd
29782   4        2       0        view2-snd
29783   4        2       0        view2-snd
29784   4        2       0        view2-snd
29785   3        2       1        view2-dnd
29786   3        2       1        view2-dnd
29790   3        2       1        view2-dnd
29791   3        2       1        view2-dnd
29794   4        2       0        view2-snd
29795   3        2       1        view2-dnd
29796   4        2       0        view2-snd
29799   4        2       0        view2-snd
29800   4        2       0        view2-snd
29801   4        2       0        view2-snd
29803   4        2       0        view2-snd
29807   5        3       1        view3-dnd
29808   5        3       1        view3-dnd
29811   5        3       1        view3-dnd
29812   5        3       1        view3-dnd
29813   5        3       1        view3-dnd
29814   5        3       1        view3-dnd
29815   5        3       1        view3-dnd
29818   5        3       1        view3-dnd
29820   5        3       1        view3-dnd
29821   5        3       1        view3-dnd
29823   5        3       1        view3-dnd
29824   5        3       1        view3-dnd
29825   5        3       1        view3-dnd
29826   6        3       0        view3-snd
29827   6        3       0        view3-snd
29828   5        3       1        view3-dnd
29829   5        3       1        view3-dnd
29832   5        3       1        view3-dnd
29834   5        3       1        view3-dnd
29835   5        3       1        view3-dnd
29837   5        3       1        view3-dnd
29840   5        3       1        view3-dnd
29841   5        3       1        view3-dnd
29843   5        3       1        view3-dnd
29845   5        3       1        view3-dnd
29846   5        3       1        view3-dnd
29848   5        3       1        view3-dnd
29849   5        3       1        view3-dnd
29851   5        3       1        view3-dnd
29852   5        3       1        view3-dnd
29854   5        3       1        view3-dnd
29855   5        3       1        view3-dnd
29859   5        3       1        view3-dnd
29862   5        3       1        view3-dnd
29872   5        3       1        view3-dnd
29876   5        3       1        view3-dnd
29877   5        3       1        view3-dnd
29878   5        3       1        view3-dnd
29879   5        3       1        view3-dnd
29880   5        3       1        view3-dnd
29881   5        3       1        view3-dnd
29882   5        3       1        view3-dnd
29883   5        3       1        view3-dnd
29884   5        3       1        view3-dnd
29885   5        3       1        view3-dnd
29887   5        3       1        view3-dnd
29888   5        3       1        view3-dnd
29889   5        3       1        view3-dnd
29890   5        3       1        view3-dnd
29891   5        3       1        view3-dnd
29892   5        3       1        view3-dnd
29893   5        3       1        view3-dnd
29894   5        3       1        view3-dnd
29895   5        3       1        view3-dnd
29896   5        3       1        view3-dnd
29902   5        3       1        view3-dnd
29908   5        3       1        view3-dnd
29909   5        3       1        view3-dnd
29910   6        4       1        view4-dnd
29912   7        4       0        view4-snd
29914   6        4       1        view4-dnd
29915   7        4       0        view4-snd
29916   7        4       0        view4-snd
29917   6        4       1        view4-dnd
29918   6        4       1        view4-dnd
29919   6        4       1        view4-dnd
29920   6        4       1        view4-dnd
29921   6        4       1        view4-dnd
29922   6        4       1        view4-dnd
29923   6        4       1        view4-dnd
29924   6        4       1        view4-dnd
29925   6        4       1        view4-dnd
29934   7        4       0        view4-snd
29935   7        4       0        view4-snd
29936   7        4       0        view4-snd
29937   7        4       0        view4-snd
29938   7        4       0        view4-snd
29939   8        5       0        view5-snd
29940   8        5       0        view5-snd
29941   8        5       0        view5-snd
29942   8        5       0        view5-snd
29943   8        5       0        view5-snd
29944   8        5       0        view5-snd
29947   8        5       0        view5-snd
29948   8        5       0        view5-snd
29949   8        5       0        view5-snd
29951   8        5       0        view5-snd
29952   8        5       0        view5-snd
29953   8        5       0        view5-snd
29954   8        5       0        view5-snd
29955   8        5       0        view5-snd
29956   8        5       0        view5-snd
29957   8        5       0        view5-snd
29958   9        5       1        view5-dnd
29964   8        6       0        view6-snd
29966   9        6       1        view6-dnd
29969   9        6       1        view6-dnd
29970   9        6       1        view6-dnd
29971   9        6       1        view6-dnd
29972   9        6       1        view6-dnd
29974   8        6       0        view6-snd
29975   9        6       1        view6-dnd
29976   9        6       1        view6-dnd
29978   9        6       1        view6-dnd
29980   9        6       1        view6-dnd
29981   9        6       1        view6-dnd
29982   9        6       1        view6-dnd
29983   9        6       1        view6-dnd
29988   8        6       0        view6-snd
29989   8        6       0        view6-snd
29991   9        6       1        view6-dnd
29992   9        6       1        view6-dnd
29993   9        6       1        view6-dnd
29994   9        6       1        view6-dnd
30005   10       7       0        view7-snd
30006   10       7       0        view7-snd
30007   10       7       0        view7-snd
30008   10       7       0        view7-snd
30009   10       7       0        view7-snd
30010   10       7       0        view7-snd
30011   10       7       0        view7-snd
30012   11       7       1        view7-dnd
30014   10       7       0        view7-snd
30015   10       7       0        view7-snd
30016   11       7       1        view7-dnd
30017   11       7       1        view7-dnd
30019   10       7       0        view7-snd
30020   11       7       1        view7-dnd
30023   11       7       1        view7-dnd
