#pulse	class	comment
29228	0	lower-outer-div
29230	0	lower-outer-div
29231	0	lower-outer-div
29233   0       lower-outer-div
29234   0       lower-outer-div
29236   0       lower-outer-div
29237   0       lower-outer-div
29238	0	lower-outer-div
29239   0       lower-outer-div
29240   0       lower-outer-div
29241   0       lower-outer-div
29243	0	lower-outer-div
29244   0       lower-outer-div
29245   0       lower-outer-div
29246   0       lower-outer-div
29247   0       lower-outer-div
29248   0       lower-outer-div
29249   0       lower-outer-div
29250   0       lower-outer-div
29251	0	lower-outer-div
29269	0	lower-outer-div
29271	0	lower-outer-div
29272	0	lower-outer-div
29273	0	lower-outer-div
29274	0	lower-outer-div
29275	0	lower-outer-div
29276	0	lower-outer-div
29407	0	lower-outer-div
29408	0	lower-outer-div
29409	0	lower-outer-div
29410   0       lower-outer-div
29411   0       lower-outer-div
29412   0       lower-outer-div
29413   0       lower-outer-div
29414	0	lower-outer-div
29415   0       lower-outer-div
29416   0       lower-outer-div
29417   0       lower-outer-div
29418	0	lower-outer-div
29419   0       lower-outer-div
29420   0       lower-outer-div
29421   0       lower-outer-div
29423   0       lower-outer-div
29424   0       lower-outer-div
29425   0       lower-outer-div
29426   0       lower-outer-div
29427	0	lower-outer-div
29428	0	lower-outer-div
29429	0	lower-outer-div
29430	0	lower-outer-div
29431	0	lower-outer-div
29432	0	lower-outer-div
29436	0	lower-outer-div
29437	0	lower-outer-div
29439	0	lower-outer-div
29440	0	lower-outer-div
29442	0	lower-outer-div
29443   0       lower-outer-div
29444   0       lower-outer-div
29445   0       lower-outer-div
29446   0       lower-outer-div
29447	0	lower-outer-div
29450   0       lower-outer-div
29451   0       lower-outer-div
29452   0       lower-outer-div
29453	0	lower-outer-div
29454   0       lower-outer-div
29455   0       lower-outer-div
29464   0       lower-outer-div
29465   0       lower-outer-div
29469   0       lower-outer-div
29470   0       lower-outer-div
29471   0       lower-outer-div
29472	0	lower-outer-div
29473	0	lower-outer-div
29474	0	lower-outer-div
29482	0	lower-outer-div
29483	0	lower-outer-div
29484	0	lower-outer-div
29485	0	lower-outer-div
29486	0	lower-outer-div
29487	0	lower-outer-div
29488	0	lower-outer-div
29489	0	lower-outer-div
29490   0       lower-outer-div
29493   0       lower-outer-div
29494   0       lower-outer-div
29495   0       lower-outer-div
29496	0	lower-outer-div
29499   0       lower-outer-div
29500   0       lower-outer-div
29501   0       lower-outer-div
29502	0	lower-outer-div
29503   0       lower-outer-div
29504   0       lower-outer-div
29505   0       lower-outer-div
29506   0       lower-outer-div
29507   0       lower-outer-div
29512   0       lower-outer-div
29514   0       lower-outer-div
29515	0	lower-outer-div
29516	0	lower-outer-div
29517	0	lower-outer-div
29518	0	lower-outer-div
29519	0	lower-outer-div
29520	0	lower-outer-div
29521	0	lower-outer-div
29522	0	lower-outer-div
29524	0	lower-outer-div
29525	0	lower-outer-div
29536	0	lower-outer-div
29538   0       lower-outer-div
29539   0       lower-outer-div
29541   0       lower-outer-div
29542   0       lower-outer-div
29543	0	lower-outer-div
29545   0       lower-outer-div
29547   0       lower-outer-div
29548   0       lower-outer-div
29549	0	lower-outer-div
29550   0       lower-outer-div
29552   0       lower-outer-div
29554   0       lower-outer-div
29556   0       lower-outer-div
29557   0       lower-outer-div
29737	1	left-midplane
29738	1	left-midplane
29739	1	left-midplane
29741	1	left-midplane
29742	1	left-midplane
29743	1	left-midplane
29746	1	left-midplane
29747	1	left-midplane
29748	1	left-midplane
29749	1	left-midplane
29751	1	left-midplane
29752	1	left-midplane
29753	1	left-midplane
29754	1	left-midplane
29758	1	left-midplane
29759	1	left-midplane
29761	1	left-midplane
29762	1	left-midplane
29763	1	left-midplane
29764	1	left-midplane
29767	1	left-midplane
29768	1	left-midplane
29769	1	left-midplane
